"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams"
"1","NESS1","NESS2",-99.953936,-100.052172,38.464021,38.503783,0,0.0478713339640492,0.874361400189215,0.0087038789025544,0.0690633869441816,14910.7514150809,19084.9893616651,0,0
"2","NESS1","NESS3",-99.953936,-100.18167,38.464021,38.53469,0.00192864030858245,0.0278045644487303,0.894246223079396,0.0242687238829958,0.0517518482802957,35188.0702276648,45010.5182848361,0,0
"3","NESS2","NESS3",-100.052172,-100.18167,38.503783,38.53469,0.00332686443027447,0.0128915996673136,0.907679512059884,0.0354865539229276,0.0406154699196008,20277.3188125839,25938.29517079,0,0
