FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
193,Point,BWWA2,SFNinnescah,-98.27998,37.65656, , ,0.71,460,STREAM/RIVER,46006,Perennial,58.326471
194,Point,TEASLY,SFNinnescah,-98.76891,37.63631,485476,South Fork Ninnescah River,0.73,460,STREAM/RIVER,46006,Perennial,18.164467
195,Point,MLR-A,Medicine,-98.91833,37.36983,1095291,Medicine Lodge River,0.312,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,8.788601
196,Point,CHIK5,Chikaskia,-98.33998,37.48581, , ,0.757,460,STREAM/RIVER,46003,Intermittent,4.222775
197,Point,SLATE2,LowerArk,-97.749168,37.430152,470268,North Branch State Creek,0.211,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,0.589807
198,Point,CCBS,Cimarron,-100.161843,37.01395,470687,Crooked Creek,1.061,460,STREAM/RIVER,46006,Perennial,4.039203
199,Point,CHIK21,Chikaskia,-97.80236,37.25002,470191,Sand Creek,3.247,460,STREAM/RIVER,46006,Perennial,3.032694
200,Point,BWWA8,SFNinnescah,-98.30518,37.63691, , ,0.848,460,STREAM/RIVER,46003,Intermittent,6.370441
201,Point,CHIK27,Chikaskia,-97.70844,37.25624,470184,Sand Creek,3.643,460,STREAM/RIVER,46003,Intermittent,19.743296
202,Point,SAND1,Chikaskia,-98.42905,37.38552,470404,Sand Creek,1.174,460,STREAM/RIVER,46006,Perennial,2.439037
203,Point,CHIK26,Chikaskia,-97.77969,37.25621,470272,Argonia Creek,1.034,460,STREAM/RIVER,46006,Perennial,0.826125
204,Point,NFNINNSF,NFNinnescah,-98.5269,37.91027,473800,North Fork Ninnescah River,5.367402,460,STREAM/RIVER,46006,Perennial,3.040399
205,Point,SFNMB,SFNinnescah,-98.09923,37.63677,485476,South Fork Ninnescah River,1.059,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,30.076945
206,Point,NESS1,Walnut,-99.953936,38.464021,475587,North Fork Walnut Creek,2.269,460,STREAM/RIVER,46006,Perennial,1.22551
207,Point,CHIK22,Chikaskia,-97.83985,37.30439,470190,Spring Creek,4.847,460,STREAM/RIVER,46006,Perennial,2.659909
208,Point,WELM,Medicine,-98.77396,37.43821,470367,East Branch South Elm Creek,0.199,460,STREAM/RIVER,46006,Perennial,4.866853
209,Point,RATTLE5,Rattlesnake,-98.80733,37.97086,475886,Rattlesnake Creek,17.879,460,STREAM/RIVER,46006,Perennial,1.834489
210,Point,CHIK13,Chikaskia,-98.04478,37.43978, , ,0.845,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,4.828835
211,Point,NFNTS,NFNinnescah,-97.737699,37.613479,473800,North Fork Ninnescah River,2.057,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.979172
212,Point,SFNR3,SFNinnescah,-98.736533,37.633405,485476,South Fork Ninnescah River,1.202,460,STREAM/RIVER,46006,Perennial,10.687432
213,Point,MULE5,SaltFork,-99.20602,37.33461,470521,Mule Creek,1.547,460,STREAM/RIVER,46006,Perennial,6.358387
214,Point,MLR9,Medicine,-99.11317,37.43661,1095291,Medicine Lodge River,1.47,460,STREAM/RIVER,46006,Perennial,3.903287
215,Point,ARK11,LowerArk,-98.27055,38.19434,78956,Arkansas River,9.833649,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,0.982943
216,Point,ARK9,LowerArk,-98.3203,38.20866,78956,Arkansas River,9.833649,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,3.701659
217,Point,NFOLD14,NFNinnescah,-98.17896,37.9045,473800,North Fork Ninnescah River,0.651666,460,STREAM/RIVER,46006,Perennial,3.302907
