FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
44,Point,CHIK23,Chikaskia,-97.80837,37.28528, , ,1.505,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.315016
45,Point,ELM2,Medicine,-98.61018,37.38811,470451,Elm Creek,0.181,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,6.052227
46,Point,ARK17,LowerArk,-98.11185,38.14462,78956,Arkansas River,10.673,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,9.081218
47,Point,ARK18,LowerArk,-98.08771,38.13102,78956,Arkansas River,10.673,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,24.058373
48,Point,NTELM,Medicine,-98.65506,37.45625,470375,Crooked Creek,1.319,460,STREAM/RIVER,46006,Perennial,14.989783
49,Point,SANDKM,SFNinnescah,-97.97228,37.58982,485475,Sand Creek,1.989,460,STREAM/RIVER,46006,Perennial,1.652317
50,Point,MULE3,SaltFork,-99.04404,37.28111,470521,Mule Creek,2.558,460,STREAM/RIVER,46006,Perennial,1.460182
51,Point,MULEJP,SaltFork,-98.980556,37.112351,470521,Mule Creek,0.078,460,STREAM/RIVER,46006,Perennial,2.497108
52,Point,BWWA6,SFNinnescah,-98.27589,37.65286, , ,1.113,460,STREAM/RIVER,46003,Intermittent,9.452144
53,Point,QNWR5,Rattlesnake,-98.55656,38.1604, , ,6.344,460,STREAM/RIVER,46003,Intermittent,1058.732654
54,Point,QNWR6,Rattlesnake,-98.57553,38.15858, , ,6.344,460,STREAM/RIVER,46003,Intermittent,1.390841
55,Point,NINNR1,SFNinnescah,-97.69138,37.56208,470132,Ninnescah River,1.932,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,8.522223
56,Point,ZBAR1,SaltFork,-98.987271,37.103899,470521,Mule Creek,2.65,460,STREAM/RIVER,46006,Perennial,1.291611
57,Point,ZBAR2,SaltFork,-98.991953,37.092788,470521,Mule Creek,2.65,460,STREAM/RIVER,46006,Perennial,2.547938
58,Point,TCHA,Medicine,-98.924523,37.374674,470425,Turkey Creek,1.91,460,STREAM/RIVER,46006,Perennial,6.200964
59,Point,CIMTW3,Cimarron,-99.462624,37.012874,1091369,Cimarron River,1.837,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,2.475302
60,Point,KC160,Cimarron,-99.468415,37.19247, , ,1.743,460,STREAM/RIVER,46006,Perennial,16.939079
61,Point,MLR3,Medicine,-98.469581,37.039456,1095291,Medicine Lodge River,2.135,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,8.903288
62,Point,PECK,LowerArk,-98.24692,38.1588,475893,Peace Creek,4.744,460,STREAM/RIVER,46006,Perennial,10.348251
63,Point,SNAKE,Cimarron,-99.60752,37.06238,1098154,Snake Creek,1.286,460,STREAM/RIVER,46006,Perennial,12.460405
64,Point,RATTLE1,Rattlesnake,-98.922868,37.858188,475886,Rattlesnake Creek,26.33,460,STREAM/RIVER,46006,Perennial,0.634889
65,Point,RATTLE2,Rattlesnake,-98.85284,37.880905,475886,Rattlesnake Creek,26.33,460,STREAM/RIVER,46006,Perennial,7.976289
66,Point,RATTLE3,Rattlesnake,-98.878166,37.867076,475886,Rattlesnake Creek,26.33,460,STREAM/RIVER,46006,Perennial,4.626727
67,Point,KAWN,LowerArk,-96.972951,37.045428, , ,3.325,460,STREAM/RIVER,46003,Intermittent,0.627827
68,Point,CIMMG,Cimarron,-99.799569,37.030958,1091369,Cimarron River,2.1,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,18.166445
