"","site1","site2","long1","long2","lat1","lat2","fprop","wprop","gprop","dprop","cprop","riverdist","perennial","intermit","dams"
"1","AMBER2","DOG",-98.61732,-98.82162,37.44715,37.30948,0.202211900022119,0.249148418491484,0.437956204379562,0.0166777261667773,0.0940057509400575,64904.4327502024,81707.1489661712,6.85184831271756,0
"2","AMBER2","ELM1",-98.61732,-98.57282,37.44715,37.27576,0.229273036712862,0.37819110138585,0.300632141988816,0.0178701677607586,0.0740335521517141,23864.2796672155,30010.0532481915,0,0
"3","AMBER2","ELM2",-98.61732,-98.61018,37.44715,37.38811,0.203586497890295,0.308544303797468,0.380801687763713,0.0292721518987342,0.077795358649789,11304.5645999256,14185.6865237158,0,0
"4","AMBER2","ETELM1",-98.61732,-98.53781,37.44715,37.36725,0.203414996288048,0.268596881959911,0.442761692650334,0.021380846325167,0.0638455827765405,19899.3624184619,25022.4476532789,12.8114705448619,0
"5","AMBER2","ETMLR1",-98.61732,-98.55103,37.44715,37.24925,0.232383674198446,0.337054568187907,0.343842100562651,0.0158971152987407,0.0708225417522551,32472.0518189603,38720.3235729519,2144.38224981881,0
"6","AMBER2","MLPARK1",-98.61732,-98.57507,37.44715,37.27793,0.227785186083162,0.376772942174809,0.298824099890896,0.0227906412898533,0.0738271305612802,23783.1300950896,29913.150876173,0,0
"7","AMBER2","MLPARK2",-98.61732,-98.57575,37.44715,37.27649,0.232719445108826,0.372757713465678,0.297416885912461,0.0242764888782588,0.0728294666347764,24099.412045089,30316.113449232,0,0
"8","AMBER2","MLR1",-98.61732,-98.59007,37.44715,37.27553,0.256508191778068,0.338828022916876,0.324454719067243,0.0177907327369585,0.0624183335008544,28833.6739541636,36286.6227180708,0,0
"9","AMBER2","MLR3",-98.61732,-98.469581,37.44715,37.039456,0.136823885763739,0.334443963652099,0.47676330592817,0.00990913024664647,0.0420597144093466,66718.2457992946,83883.8972697091,0,0
"10","AMBER2","MLR4",-98.61732,-98.52927,37.44715,37.15624,0.176493256262042,0.356390494540784,0.403532434168272,0.0135517019910083,0.0500321130378934,44899.6181759643,56500.8863232137,0,0
"11","AMBER2","MLR5",-98.61732,-98.63367,37.44715,37.28673,0.25866955651884,0.316355451817272,0.344614871623875,0.0175058352784261,0.0628542847615872,34664.888681799,43627.7811342893,0,0
"12","AMBER2","MLR6",-98.61732,-98.65923,37.44715,37.29271,0.266160553217078,0.289837642814191,0.355983162958509,0.0182651834034877,0.0697534576067348,38378.8240181581,48298.9162142736,0,0
"13","AMBER2","MLR8",-98.61732,-98.82143,37.44715,37.3413,0.216029051600372,0.329701883286885,0.347225741069166,0.0149480618191031,0.0920952622244743,67986.0520875428,85580.8625414681,0,0
"14","AMBER2","MLR9",-98.61732,-99.11317,37.44715,37.43661,0.163266343148962,0.298406971721843,0.437155415533931,0.0156253969867121,0.0855458726085521,113662.299477456,143165.204695959,0,0
"15","AMBER2","MLR-A",-98.61732,-98.91833,37.44715,37.36983,0.212687502237497,0.33648372892278,0.350696309025167,0.0148927791501092,0.0852396806644471,80077.6566275387,100806.427969982,0,0
"16","AMBER2","MLRBB",-98.61732,-98.556693,37.44715,37.228776,0.226988461199683,0.35708623271382,0.340526733022109,0.0172641592530609,0.0581344138113274,32814.1014717605,41303.5173141456,0,0
"17","AMBER2","MLRHA",-98.61732,-98.925473,37.44715,37.370407,0.216420559420701,0.334871503620616,0.349034502342752,0.0148019309953145,0.0848715036206162,80731.9162140563,101635.406582765,0,0
"18","AMBER2","MLRLW",-98.61732,-98.591065,37.44715,37.263947,0.248700173310225,0.353011265164645,0.312933275563258,0.0180892547660312,0.0672660311958406,26770.1641166058,33688.654669537,0,0
"19","AMBER2","MLRLW2",-98.61732,-98.595452,37.44715,37.270713,0.260123469708067,0.346761536046877,0.310662341739039,0.0174741027519096,0.0649785497541069,27713.1577778357,34876.2460970004,0,0
"20","AMBER2","NELM1",-98.61732,-98.71767,37.44715,37.45623,0.27400228050171,0.253021664766249,0.358038768529076,0.0371721778791334,0.0777651083238312,25566.2919324677,32092.0199311944,0,0
"21","AMBER2","NELM2",-98.61732,-98.71848,37.44715,37.47075,0.271987315010571,0.270190274841438,0.337420718816068,0.0353065539112051,0.0850951374207188,27603.1314387603,34658.761420043,0,0
"22","AMBER2","NTELM",-98.61732,-98.65506,37.44715,37.45625,0.269945931689305,0.279572728471581,0.367400764868785,0.0213635764209416,0.0617169985493868,22170.0819152784,27901.1683719181,0,0
"23","AMBER2","SOLD",-98.61732,-99.03834,37.44715,37.43808,0.181162118044618,0.324493828574701,0.394942581402675,0.0146911423580286,0.0847103296199777,100261.658320647,126264.664052924,0,0
"24","AMBER2","TCHA",-98.61732,-98.924523,37.44715,37.374674,0.215709178436162,0.335988106615695,0.347704506035185,0.014760539449931,0.0858376694630279,80985.3825240434,101964.669562819,0,0
"25","AMBER2","TURKY",-98.61732,-98.9485,37.44715,37.49939,0.201728344257958,0.360865347873372,0.347226712912613,0.0134034860821257,0.0767761088739308,97758.9693094977,123144.996194509,0,0
"26","AMBER2","WELM",-98.61732,-98.77396,37.44715,37.43821,0.227216573220564,0.288320821058633,0.408343628242896,0.0244226931483417,0.0516962843295638,30675.3316328932,38524.2124580745,0,0
"27","DOG","ELM1",-98.82162,-98.57282,37.30948,37.27576,0.186504087571013,0.175557710960233,0.515311071082167,0.0175973396147984,0.105029790771789,41040.1530829869,51697.027788077,6.85184831271756,0
