ind,site,meta
1741,CLRH2O2,SFNinnescah
1743,CNCSC,LowerArk
1744,CNCSC,LowerArk
1745,CNCSC,LowerArk
1746,CNCSC,LowerArk
1748,CNCSC,LowerArk
1749,CNCSC,LowerArk
1751,CNCSC,LowerArk
1752,CNCSC,LowerArk
1763,COON,SFNinnescah
1764,COON,SFNinnescah
1765,COON,SFNinnescah
1766,COON,SFNinnescah
1767,COW1,LowerArk
1768,COW1,LowerArk
1769,COW1,LowerArk
1770,COW1,LowerArk
1772,COW1,LowerArk
1774,COW1,LowerArk
1775,COW1,LowerArk
1776,COW1,LowerArk
1779,CRCRK1,Cimarron
1781,CRCRK1,Cimarron
1782,CRCRK1,Cimarron
1783,CRCRK1,Cimarron
1784,CRCRK1,Cimarron
1785,CRCRK1,Cimarron
1786,CRCRK1,Cimarron
1787,CRCRK1,Cimarron
1788,CRCRK1,Cimarron
1789,CRCRK1,Cimarron
1790,CRCRK1,Cimarron
1791,CRCRK1,Cimarron
1792,CRCRK1,Cimarron
1793,CRCRK1,Cimarron
1794,CRCRK1,Cimarron
1795,CRCRK1,Cimarron
1796,CRCRK1,Cimarron
1797,CRCRK1,Cimarron
1798,CRCRK1,Cimarron
1799,CRCRK2,Cimarron
1800,CRCRK2,Cimarron
1801,CRCRK2,Cimarron
1802,CRCRK2,Cimarron
1803,CRCRK2,Cimarron
1804,CRCRK2,Cimarron
1805,CRCRK2,Cimarron
1806,CRCRK2,Cimarron
1807,CRCRK2,Cimarron
1808,CRCRK2,Cimarron
1809,CRCRK2,Cimarron
1810,CRCRK2,Cimarron
1811,CRCRK2,Cimarron
1812,CRCRK2,Cimarron
1813,CRCRK2,Cimarron
1814,CRCRK2,Cimarron
1815,CRCRK2,Cimarron
1816,CRCRK2,Cimarron
1817,CRCRK2,Cimarron
1818,CRCRK2,Cimarron
1819,CRCRK3,Cimarron
1820,CRCRK3,Cimarron
1821,CRCRK3,Cimarron
1822,CRCRK3,Cimarron
1823,CRCRK3,Cimarron
1824,CRCRK3,Cimarron
1825,CRCRK3,Cimarron
1826,CRCRK3,Cimarron
1827,CRCRK3,Cimarron
1828,CRCRK3,Cimarron
1829,CRCRK3,Cimarron
1830,CRCRK3,Cimarron
1831,CRCRK3,Cimarron
1832,CRCRK3,Cimarron
1833,CRCRK3,Cimarron
1834,CRCRK3,Cimarron
1835,CRCRK3,Cimarron
1836,CRCRK3,Cimarron
1837,CRCRK3,Cimarron
1838,CRCRK3,Cimarron
1840,DOG,Medicine
1841,DOG,Medicine
1842,DOG,Medicine
1843,DOG,Medicine
1844,DOG,Medicine
1845,ELM1,Medicine
1846,ELM1,Medicine
1847,ELM1,Medicine
1848,ELM1,Medicine
1849,ELM1,Medicine
1850,ELM1,Medicine
1851,ELM2,Medicine
1852,ELM2,Medicine
1853,ELM2,Medicine
1854,ELM2,Medicine
1855,ELM2,Medicine
1856,ELM2,Medicine
1857,ELM2,Medicine
1858,ELM2,Medicine
1859,ELM2,Medicine
1860,ELM2,Medicine
1861,ENESC,SaltFork
1862,ENESC,SaltFork
1863,ENESC,SaltFork
1865,ENESC,SaltFork
1866,ENESC,SaltFork
1867,ENESC,SaltFork
1868,ENESC,SaltFork
1870,ENESC,SaltFork
1881,ETELM1,Medicine
1882,ETELM1,Medicine
1884,ETMLR1,Medicine
1885,ETMLR1,Medicine
1886,ETMLR1,Medicine
1887,ETMLR1,Medicine
1888,ETMLR1,Medicine
1889,ETMLR1,Medicine
1890,ETMLR1,Medicine
1891,ETMLR1,Medicine
1892,ETMLR1,Medicine
1893,ETMLR1,Medicine
1904,GOOSECREEKHWY11,NFNinnescah
1905,GOOSECREEKHWY11,NFNinnescah
1906,GOOSECREEKHWY11,NFNinnescah
1907,GOOSECREEKHWY11,NFNinnescah
1908,GOOSECREEKHWY11,NFNinnescah
1909,GOOSECREEKHWY11,NFNinnescah
1910,GOOSECREEKHWY11,NFNinnescah
1911,GOOSECREEKHWY11,NFNinnescah
1912,GOOSECREEKHWY11,NFNinnescah
1913,GOOSECREEKHWY11,NFNinnescah
1923,INDDS,SaltFork
1924,INDDS,SaltFork
1925,INDDS,SaltFork
1926,INDDS,SaltFork
1927,INDDS,SaltFork
1928,KAWN,LowerArk
1929,KAWN,LowerArk
1930,KAWN,LowerArk
1931,KAWN,LowerArk
1932,KAWN,LowerArk
1933,KAWN,LowerArk
1934,KAWN,LowerArk
1935,KAWN,LowerArk
1936,KAWN,LowerArk
1937,KAWN,LowerArk
1948,KC160,Cimarron
1949,KC160,Cimarron
1950,KC160,Cimarron
1951,KC160,Cimarron
1952,KC160,Cimarron
1953,KC160,Cimarron
1954,KC160,Cimarron
1955,KC160,Cimarron
1956,KC160,Cimarron
1957,KC160,Cimarron
1968,KDOT1,SFNinnescah
1969,KDOT1,SFNinnescah
1970,KDOT1,SFNinnescah
1971,KDOT1,SFNinnescah
1973,KDOT1,SFNinnescah
1974,KDOT1,SFNinnescah
1975,KDOT1,SFNinnescah
1976,KDOT1,SFNinnescah
1988,KMCP,SFNinnescah
1989,KMCP,SFNinnescah
1990,KMCP,SFNinnescah
1991,KMCP,SFNinnescah
1992,LSMC,SFNinnescah
1993,LSMC,SFNinnescah
1994,LSMC,SFNinnescah
1995,LSMC,SFNinnescah
1996,LSMC,SFNinnescah
1997,LSMC,SFNinnescah
1998,LSMC,SFNinnescah
1999,LSMC,SFNinnescah
2000,LSMC,SFNinnescah
2001,MLPARK1,Medicine
2002,MLPARK1,Medicine
2003,MLPARK1,Medicine
2004,MLPARK1,Medicine
2005,MLPARK1,Medicine
2006,MLPARK1,Medicine
2007,MLPARK1,Medicine
2008,MLPARK1,Medicine
2009,MLPARK2,Medicine
2010,MLPARK2,Medicine
2011,MLPARK2,Medicine
2012,MLPARK2,Medicine
2013,MLPARK2,Medicine
2014,MLPARK2,Medicine
2015,MLPARK2,Medicine
2016,MLPARK2,Medicine
2017,MLPARK2,Medicine
2018,MLPARK2,Medicine
2021,MLR1,Medicine
2022,MLR1,Medicine
2023,MLR1,Medicine
2024,MLR1,Medicine
2025,MLR1,Medicine
2026,MLR1,Medicine
2027,MLR1,Medicine
2028,MLR1,Medicine
2029,MLR1,Medicine
2041,MLR3,Medicine
2041,MLR3,Medicine
2042,MLR3,Medicine
2042,MLR3,Medicine
2043,MLR3,Medicine
2043,MLR3,Medicine
2044,MLR4,Medicine
2045,MLR4,Medicine
2046,MLR4,Medicine
2047,MLR4,Medicine
2048,MLR4,Medicine
2049,MLR4,Medicine
2050,MLR4,Medicine
2051,MLR4,Medicine
2052,MLR4,Medicine
2053,MLR5,Medicine
2054,MLR5,Medicine
2055,MLR5,Medicine
2056,MLR6,Medicine
2057,MLR6,Medicine
2058,MLR6,Medicine
2059,MLR6,Medicine
2061,MLR8,Medicine
2062,MLR8,Medicine
2063,MLR8,Medicine
2064,MLR9,Medicine
2065,MLR9,Medicine
2066,MLR9,Medicine
2067,MLR9,Medicine
2068,MLR9,Medicine
2069,MLR9,Medicine
2070,MLR9,Medicine
2071,MLR-A,Medicine
2072,MLR-A,Medicine
2073,MLR-A,Medicine
2074,MLR-A,Medicine
2075,MLR-A,Medicine
2076,MLRBB,Medicine
2077,MLRBB,Medicine
2078,MLRBB,Medicine
2079,MLRBB,Medicine
2080,MLRBB,Medicine
2081,MLRHA,Medicine
2082,MLRHA,Medicine
2083,MLRHA,Medicine
2084,MLRHA,Medicine
2085,MLRHA,Medicine
2088,MLRLW,Medicine
2089,MLRLW,Medicine
2090,MLRLW,Medicine
2091,MLRLW,Medicine
2092,MLRLW,Medicine
2093,MLRLW2,Medicine
2094,MLRLW2,Medicine
2095,MNESC,SaltFork
2096,MNESC,SaltFork
2097,MNESC,SaltFork
2098,MNESC,SaltFork
2099,MNESC,SaltFork
2100,MNESC,SaltFork
2101,MULE3,SaltFork
2102,MULE3,SaltFork
2103,MULE3,SaltFork
2104,MULE3,SaltFork
2105,MULE3,SaltFork
2106,MULE3,SaltFork
2107,MULE3,SaltFork
2108,MULE3,SaltFork
2109,MULE3,SaltFork
2110,MULE3,SaltFork
2114,MULE5,SaltFork
2114,MULE5,SaltFork
2115,MULE5,SaltFork
2115,MULE5,SaltFork
2116,MULE5,SaltFork
2116,MULE5,SaltFork
2117,MULEJP,SaltFork
2118,MULEJP,SaltFork
2120,NAT,SFNinnescah
2121,NAT,SFNinnescah
2122,NAT,SFNinnescah
2123,NAT,SFNinnescah
2124,NAT,SFNinnescah
2125,NAT,SFNinnescah
2126,NAT,SFNinnescah
2127,NAT,SFNinnescah
2128,NAT,SFNinnescah
2129,NAT,SFNinnescah
2140,NBSC1,NFNinnescah
2141,NBSC1,NFNinnescah
2142,NBSC1,NFNinnescah
2143,NBSC1,NFNinnescah
2144,NBSC1,NFNinnescah
2145,NBSC1,NFNinnescah
2146,NBSC1,NFNinnescah
2147,NBSC1,NFNinnescah
2148,NBSC1,NFNinnescah
2149,NBSC1,NFNinnescah
2158,NELM1,Medicine
2159,NELM1,Medicine
2160,NELM1,Medicine
2161,NELM1,Medicine
2162,NELM1,Medicine
2163,NELM1,Medicine
2164,NELM1,Medicine
2165,NELM1,Medicine
2166,NELM1,Medicine
2167,NELM1,Medicine
2178,NELM2,Medicine
2179,NELM2,Medicine
2180,NELM2,Medicine
2181,NELM2,Medicine
2183,NELM2,Medicine
2184,NELM2,Medicine
2185,NELM2,Medicine
2186,NELM2,Medicine
2187,NELM2,Medicine
