SITE NAME,y,x
QNWR4,38.16189,-98.55292
QNWR5,38.1604,-98.55656
QNWR6,38.15858,-98.57553
QNWR7,38.20189,-98.54501
QNWR8,38.22254,-98.48615
QNWR9,38.22049,-98.48917
RATT2016,38.23193,-98.38023
RATTLE1,37.858188,-98.922868
RATTLE2,37.880905,-98.85284
RATTLE3,37.867076,-98.878166
RATTLE4,37.83914,-98.98591
RATTLE5,37.97086,-98.80733
RATTLE6,38.08023,-98.71805
RATTLE7,38.08563,-98.71077
RATTLE8,38.08025,-98.67424
RATTLE9,38.09336,-98.546
RECON Sandy Creek,37.34214,-97.85799
RRC,37.9018,-98.01379
SALT1,38.05705,-98.00723
SAND1,37.38552,-98.42905
SAND2,37.4175,-98.28194
SAND3,37.41125,-98.28191
SANDKM,37.58982,-97.97228
SANDSG,37.50294,-97.77098
SFARDJ,37.091044,-99.162801
SFARDJ2,37.088052,-99.134565
SFARDS,37.11174,-99.057752
SFARDS2,37.112129,-99.030091
SFARDS3,37.095484,-99.017781
SFN1,37.6412,-98.11176
SFNDB,37.661645,-98.417577
SFNJM,37.642316,-98.366483
SFNMB,37.63677,-98.09923
SFNR1,37.64548,-98.64508
SFNR2,37.63141,-98.67993
SFNR3,37.633405,-98.736533
SFNR4,37.63992,-98.76689
SFNR5,37.60068,-97.77283
SFNR6,37.6584,-98.55657
SFNR7,37.60412,-97.97243
SFNR8,37.56114,-97.91229
SILVER01,37.82431,-98.32166
SILVERH2O,37.85173,-98.252983
SLATE1,37.419675,-97.642435
SLATE2,37.430152,-97.749168
SLATE3,37.444234,-97.733499
SLATE4,37.445164,-97.731541
SNAKE,37.06238,-99.60752
SOLD,37.43808,-99.03834
SPNGR1,37.18446,-94.64565
SPNGR2,37.199014,-94.6311
SPRINGSG,37.5333,-97.57556
STSC1,37.02919,-94.619135
TBSY,37.17114,-100.14477
TCHA,37.374674,-98.924523
TEASLY,37.63631,-98.76891
TNFN1,37.6497,-97.77153
TNFNHWY50,37.98412,-98.33718
TURKY,37.49939,-98.9485
USMC,37.74847,-98.12421
WALNUT,38.35423,-98.68261
WELM,37.43821,-98.77396
WOLF01,37.8305,-98.32512
WRTH,37.92024,-97.72016
WSU1,37.67714,-97.94712
WSU2,37.67976,-97.95137
WSU3,37.68016,-97.95135
WSU4,37.68061,-97.94579
ZANG,37.64541,-98.77637
ZBAR1,37.103899,-98.987271
ZBAR2,37.092788,-98.991953
JCC,38.68448,-104.6887155
BSC,39.101569,-104.2020784
UTFC,38.439703,-104.596428
BFC,38.148682,-102.3112995
RSHC,38.793115,-103.346613
SRC,38.950186,-103.7785998
WHC,38.124478,-102.1396272
USBC,38.10148836,-102.3164975
RC2,38.849166,-103.4850677
UTFC2,38.679607,-104.7215483
HPSWA,38.934414,-103.429041
VDRW,38.111934,-102.657473
WMVD,38.12664256,-102.6095075
BSQ,38.44121,-104.389195
HCR,39.497818,-104.809034
HESPR,36.259268,-94.271088
LIBR,36.256586,-94.327703
PAHO,36.226380,-94.407080
SVGC,36.287700,-94.226530
TUSPR,36.152210,-94.302615
WISPR,36.106462,-94.184184
