ind,site,meta
841,ARK19,Lower Arkansas River
842,ARK19,Lower Arkansas River
843,ARK19,Lower Arkansas River
844,ARK19,Lower Arkansas River
845,ARK19,Lower Arkansas River
848,ARK22,Lower Arkansas River
849,ARK22,Lower Arkansas River
850,ARK22,Lower Arkansas River
851,ARK23,Lower Arkansas River
852,ARK23,Lower Arkansas River
855,ARK4,Lower Arkansas River
856,ARK4,Lower Arkansas River
857,ARK4,Lower Arkansas River
858,ARK4,Lower Arkansas River
859,ARK4,Lower Arkansas River
860,ARK5,Lower Arkansas River
861,ARK5,Lower Arkansas River
862,ARK6,Lower Arkansas River
863,ARK6,Lower Arkansas River
864,ARK6,Lower Arkansas River
865,ARK6,Lower Arkansas River
866,ARK6,Lower Arkansas River
867,ARK6,Lower Arkansas River
868,ARK6,Lower Arkansas River
869,ARK6,Lower Arkansas River
870,ARK6,Lower Arkansas River
871,ARK6,Lower Arkansas River
879,ARK7,Lower Arkansas River
880,ARK7,Lower Arkansas River
881,ARK7,Lower Arkansas River
882,ARK7,Lower Arkansas River
883,ARK7,Lower Arkansas River
884,ARK7,Lower Arkansas River
885,ARK7,Lower Arkansas River
886,ARK7,Lower Arkansas River
887,ARK7,Lower Arkansas River
898,ARK8,Lower Arkansas River
899,ARK8,Lower Arkansas River
900,ARK8,Lower Arkansas River
901,ARK8,Lower Arkansas River
903,ARK8,Lower Arkansas River
904,ARK8,Lower Arkansas River
905,ARK8,Lower Arkansas River
906,ARK8,Lower Arkansas River
907,ARK8,Lower Arkansas River
919,ARK9,Lower Arkansas River
920,ARK9,Lower Arkansas River
921,ARK9,Lower Arkansas River
922,ARK9,Lower Arkansas River
923,ARK9,Lower Arkansas River
924,ARK9,Lower Arkansas River
925,ARK9,Lower Arkansas River
926,ARK9,Lower Arkansas River
927,ARK9,Lower Arkansas River
933,BIGSAND,Cimarron River
934,BIGSAND,Cimarron River
935,BIGSAND,Cimarron River
936,BLUFF,Cimarron River
937,BLUFF,Cimarron River
938,BLUFF,Cimarron River
939,BLUFF,Cimarron River
940,BLUFF,Cimarron River
941,BLUFF,Cimarron River
942,BLUFF,Cimarron River
943,BLUFF,Cimarron River
944,BLUFF160,Cimarron River
945,BLUFF160,Cimarron River
946,BLUFF160,Cimarron River
947,BLUFF160,Cimarron River
948,BLUFFTW,Cimarron River
949,BLUFFTW,Cimarron River
950,BLUFFTW,Cimarron River
951,BLUFFTW,Cimarron River
952,BLUFFTW,Cimarron River
953,BWWA1,South Fork Ninnescah River
955,BWWA1,South Fork Ninnescah River
956,BWWA1,South Fork Ninnescah River
957,BWWA1,South Fork Ninnescah River
958,BWWA1,South Fork Ninnescah River
960,BWWA1,South Fork Ninnescah River
973,BWWA10,South Fork Ninnescah River
974,BWWA10,South Fork Ninnescah River
975,BWWA10,South Fork Ninnescah River
976,BWWA10,South Fork Ninnescah River
977,BWWA10,South Fork Ninnescah River
978,BWWA10,South Fork Ninnescah River
979,BWWA10,South Fork Ninnescah River
980,BWWA10,South Fork Ninnescah River
981,BWWA10,South Fork Ninnescah River
982,BWWA10,South Fork Ninnescah River
993,BWWA11,South Fork Ninnescah River
994,BWWA11,South Fork Ninnescah River
995,BWWA11,South Fork Ninnescah River
996,BWWA11,South Fork Ninnescah River
997,BWWA11,South Fork Ninnescah River
998,BWWA11,South Fork Ninnescah River
999,BWWA11,South Fork Ninnescah River
1000,BWWA11,South Fork Ninnescah River
1001,BWWA11,South Fork Ninnescah River
1002,BWWA11,South Fork Ninnescah River
1013,BWWA12,South Fork Ninnescah River
1014,BWWA12,South Fork Ninnescah River
1015,BWWA12,South Fork Ninnescah River
1016,BWWA12,South Fork Ninnescah River
1017,BWWA12,South Fork Ninnescah River
1018,BWWA12,South Fork Ninnescah River
1020,BWWA12,South Fork Ninnescah River
1021,BWWA12,South Fork Ninnescah River
1022,BWWA12,South Fork Ninnescah River
1025,BWWA2,South Fork Ninnescah River
1026,BWWA2,South Fork Ninnescah River
1027,BWWA2,South Fork Ninnescah River
1028,BWWA2,South Fork Ninnescah River
1029,BWWA2,South Fork Ninnescah River
1030,BWWA2,South Fork Ninnescah River
1031,BWWA2,South Fork Ninnescah River
1032,BWWA2,South Fork Ninnescah River
1033,BWWA2,South Fork Ninnescah River
1034,BWWA2,South Fork Ninnescah River
1039,BWWA3,South Fork Ninnescah River
1040,BWWA3,South Fork Ninnescah River
1041,BWWA3,South Fork Ninnescah River
1042,BWWA3,South Fork Ninnescah River
1044,BWWA3,South Fork Ninnescah River
1045,BWWA3,South Fork Ninnescah River
1046,BWWA3,South Fork Ninnescah River
1047,BWWA3,South Fork Ninnescah River
1048,BWWA3,South Fork Ninnescah River
1059,BWWA4,South Fork Ninnescah River
1060,BWWA4,South Fork Ninnescah River
1061,BWWA4,South Fork Ninnescah River
1063,BWWA4,South Fork Ninnescah River
1064,BWWA4,South Fork Ninnescah River
1065,BWWA4,South Fork Ninnescah River
1066,BWWA4,South Fork Ninnescah River
1067,BWWA4,South Fork Ninnescah River
1068,BWWA4,South Fork Ninnescah River
1079,BWWA5,South Fork Ninnescah River
1080,BWWA5,South Fork Ninnescah River
1081,BWWA5,South Fork Ninnescah River
1082,BWWA5,South Fork Ninnescah River
1083,BWWA5,South Fork Ninnescah River
1084,BWWA5,South Fork Ninnescah River
1085,BWWA5,South Fork Ninnescah River
1086,BWWA5,South Fork Ninnescah River
1087,BWWA5,South Fork Ninnescah River
1088,BWWA5,South Fork Ninnescah River
1099,BWWA6,South Fork Ninnescah River
1100,BWWA6,South Fork Ninnescah River
1101,BWWA6,South Fork Ninnescah River
1102,BWWA6,South Fork Ninnescah River
1103,BWWA6,South Fork Ninnescah River
1104,BWWA6,South Fork Ninnescah River
1105,BWWA6,South Fork Ninnescah River
1106,BWWA6,South Fork Ninnescah River
1107,BWWA6,South Fork Ninnescah River
1108,BWWA6,South Fork Ninnescah River
1109,BWWA7,South Fork Ninnescah River
1110,BWWA7,South Fork Ninnescah River
1111,BWWA7,South Fork Ninnescah River
1112,BWWA7,South Fork Ninnescah River
1113,BWWA7,South Fork Ninnescah River
1114,BWWA7,South Fork Ninnescah River
1115,BWWA7,South Fork Ninnescah River
